"set","gene"
"AxisE_gamma_minus_alpha_minus_core20","ST8SIA4"
"AxisE_gamma_minus_alpha_minus_core20","STAT1"
"AxisE_gamma_minus_alpha_minus_core20","STAT3"
"AxisE_gamma_minus_alpha_minus_core20","STAT4"
"AxisE_gamma_minus_alpha_minus_core20","TAPBP"
"AxisE_gamma_minus_alpha_minus_core20","TMT1B"
"AxisE_gamma_minus_alpha_minus_core20","TNFAIP2"
"AxisE_gamma_minus_alpha_minus_core20","TNFAIP3"
"AxisE_gamma_minus_alpha_minus_core20","TNFAIP6"
"AxisE_gamma_minus_alpha_minus_core20","TNFSF10"
"AxisE_gamma_minus_alpha_minus_core20","TOR1B"
"AxisE_gamma_minus_alpha_minus_core20","UPP1"
"AxisE_gamma_minus_alpha_minus_core20","VAMP5"
"AxisE_gamma_minus_alpha_minus_core20","VAMP8"
"AxisE_gamma_minus_alpha_minus_core20","VCAM1"
"AxisE_gamma_minus_alpha_minus_core20","XCL1"
"AxisE_gamma_minus_alpha_minus_core20","ZBP1"
"AxisE_gamma_minus_alpha_minus_core20","ZNFX1"
"gamma_minus_alpha_unfiltered","APOL6"
"gamma_minus_alpha_unfiltered","ARID5B"
"gamma_minus_alpha_unfiltered","ARL4A"
"gamma_minus_alpha_unfiltered","AUTS2"
"gamma_minus_alpha_unfiltered","BANK1"
"gamma_minus_alpha_unfiltered","BPGM"
"gamma_minus_alpha_unfiltered","BTG1"
"gamma_minus_alpha_unfiltered","C1R"
"gamma_minus_alpha_unfiltered","CASP3"
"gamma_minus_alpha_unfiltered","CASP4"
"gamma_minus_alpha_unfiltered","CASP7"
"gamma_minus_alpha_unfiltered","CCL2"
"gamma_minus_alpha_unfiltered","CCL5"
"gamma_minus_alpha_unfiltered","CCL7"
"gamma_minus_alpha_unfiltered","CD274"
"gamma_minus_alpha_unfiltered","CD38"
"gamma_minus_alpha_unfiltered","CD40"
"gamma_minus_alpha_unfiltered","CD69"
"gamma_minus_alpha_unfiltered","CD86"
"gamma_minus_alpha_unfiltered","CDKN1A"
"gamma_minus_alpha_unfiltered","CFB"
"gamma_minus_alpha_unfiltered","CFH"
"gamma_minus_alpha_unfiltered","CIITA"
